               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.063977,            0.021722,            0.008498,             0.41062,                 0.6,             0.41305,             0.15263,            0.041979,            0.011838,           0.0096375,            0.033433,           0.0064328,           0.0064328
                  37,            0.063477,             0.01955,            0.010471,             0.29033,               0.475,             0.34335,             0.15792,            0.050557,            0.011492,           0.0087921,            0.031584,           0.0065842,           0.0065842
                  38,            0.065954,            0.021191,           0.0087209,              0.3672,             0.54973,             0.37342,             0.15157,            0.042257,            0.011575,           0.0086456,            0.029734,           0.0067344,           0.0067344
                  39,            0.061937,            0.019778,           0.0092726,             0.42584,                0.55,             0.35767,             0.15284,            0.044794,            0.011713,           0.0077759,            0.027883,           0.0068833,           0.0068833
                  40,            0.060801,            0.020365,            0.012169,             0.54844,              0.6125,             0.63022,              0.2886,            0.036008,            0.010835,           0.0079376,            0.026031,           0.0070308,           0.0070308
                  41,            0.063225,            0.019391,           0.0088449,             0.37744,                0.55,             0.32805,              0.1754,            0.051673,             0.01052,           0.0071823,            0.024177,            0.007177,            0.007177
                  42,              0.0639,            0.018145,           0.0082876,             0.58096,               0.725,             0.63344,             0.23628,            0.036886,            0.010139,           0.0076202,            0.022322,           0.0073219,           0.0073219
                  43,            0.060623,            0.018134,            0.011206,             0.55877,              0.4875,             0.51076,             0.18766,            0.042398,            0.010158,           0.0081512,            0.020465,           0.0074655,           0.0074655
                  44,            0.060392,            0.018997,            0.009808,             0.63623,             0.59042,             0.56261,              0.2722,            0.040527,             0.01031,           0.0084442,            0.018608,           0.0076077,           0.0076077
                  45,            0.061408,            0.020533,           0.0087543,             0.40727,              0.5625,             0.45127,             0.16942,            0.047823,            0.010848,           0.0075806,            0.016749,           0.0077486,           0.0077486
                  46,            0.061275,             0.01978,           0.0073076,             0.58992,              0.4875,             0.56255,             0.22799,            0.039305,            0.010364,           0.0067307,            0.014888,           0.0078883,           0.0078883
                  47,            0.061505,            0.018134,           0.0079505,             0.33601,                 0.5,             0.40581,             0.17666,            0.047827,            0.011547,           0.0053329,            0.013027,           0.0080266,           0.0080266
                  48,            0.058692,            0.022064,            0.012115,             0.67141,                 0.5,             0.54856,             0.29317,            0.035572,            0.011013,           0.0072052,            0.011164,           0.0081635,           0.0081635
                  49,            0.058289,            0.018878,           0.0078733,             0.29983,              0.7125,             0.41105,             0.14797,            0.044662,            0.011941,           0.0042389,           0.0092992,           0.0082992,           0.0082992
                  50,            0.063784,            0.017636,            0.010428,             0.66852,              0.6125,             0.65435,              0.2542,            0.040988,             0.01109,           0.0052917,             0.00835,             0.00835,             0.00835
                  51,            0.056442,            0.019928,           0.0085245,             0.43279,                 0.6,             0.46556,             0.20568,            0.045441,            0.013616,            0.005809,             0.00835,             0.00835,             0.00835
                  52,            0.062785,            0.020326,           0.0099467,             0.44713,              0.5625,             0.45807,             0.20319,            0.043264,            0.014286,           0.0086365,            0.008317,            0.008317,            0.008317
                  53,             0.06197,            0.019967,           0.0089688,             0.35465,                 0.5,             0.41402,             0.18049,            0.042794,            0.014083,           0.0089935,            0.008284,            0.008284,            0.008284
                  54,            0.062516,             0.01856,            0.010609,              0.3859,              0.4375,             0.40413,             0.11641,            0.043502,            0.016607,           0.0095215,            0.008251,            0.008251,            0.008251
                  55,            0.055572,            0.022048,           0.0092852,             0.39373,              0.3875,              0.3072,             0.12938,            0.046193,            0.015967,            0.013129,            0.008218,            0.008218,            0.008218
